,steamid,name,kdr,accuracy,htk,shotsfired
108,76561198118747221,Machinegun ^^,1.2,15,3.0,4311227
109,76561198119098292,CRUC1AL,1.2,18,2.5,3343395
110,76561198119732619,JL,0.5,14,4.6,261947
111,76561198128505963,JMaldo,1.4,18,3.3,2108162
112,76561198136484046,Akke,1.2,15,3.6,1905427
113,76561198140790159,xCeeD,1.1,24,3.5,847991
114,76561198144343189,nat,0.9,16,3.0,1546958
115,76561198147117974,Zellsis,1.1,18,2.6,5235727
116,76561198155374184,iria,1.1,20,0.3,4982551
117,76561198162761208,chun,0.7,19,4.2,3181964
118,76561198247554160,s0m\_^.^,1.1,15,2.7,3187097
119,76561198263581896,twitch.tv/cavern,0.9,19,3.2,5563671
120,76561198282183407,aisaka:v,1.3,16,2.6,2828421
121,76561198306519263,floppie,1.1,19,3.5,4868003
122,76561197960268122,JZFBEAST,0.7,18,3.5,4012875
123,76561197960316279,Nameless,1.4,18,2.7,1724331
124,76561197960330897,S U P R E M E -_-,1.1,18,2.6,2717965
125,76561197960352570,tow b,0.9,17,2.9,5567280
126,76561197960403552,adwerb,1.2,16,2.5,81957
127,76561197960404597,.Kron,1.0,18,3.5,2920452
128,76561197960499780,TasmanianDevil,1.0,18,2.8,14852880
129,76561197960535267,scoobyz,1.1,19,4.2,442860
130,76561197960618710,Pelle,1.8,17,3.2,483306
131,76561197960745967,///,1.2,18,2.7,3660900
132,76561197961141188,TONI_SOSA,1.4,16,2.5,3271893
133,76561197963335479,KHRN,1.3,17,2.7,7321819
134,76561197965676129,vertiGo,1.1,16,2.5,2606008
135,76561197969459598,TibiT,1.2,20,3.4,1287041
136,76561197971492093,TANELi,1.2,15,3.4,3257907
137,76561197971921081,PENGUIN,0.9,17,3.7,1497307
138,76561197972251881,emd,1.2,17,3.0,2013966
139,76561197972418923,Renny,1.2,16,3.1,4191987
140,76561197973194519,litmanen,1.0,16,3.4,5744592
141,76561197979116507,PRIESt_,1.1,18,4.2,5904017
142,76561197979867704,lukee (._.'),1.0,19,3.1,2887506
143,76561197981768042,SAMSSON,0.9,16,3.4,2048734
144,76561197982651650,riSky,1.0,14,3.2,1101068
145,76561197984352449,Tonotza,1.1,15,3.2,1924110
146,76561197984821711,hofven,1.1,15,3.5,859249
147,76561197986831501,xartE,1.3,17,2.9,8896439
148,76561197987441154,SENF-KOCH,1.3,18,3.3,1970259
149,76561197988539104,chrisJ,0.9,18,2.7,7034972
150,76561197988602311,t3h,1.1,18,3.0,15385554
151,76561197989190567,Konjz,0.9,14,3.0,5528608
152,76561197990400956,cheti,1.1,18,3.0,7187129
153,76561197993237060,tomskub,1.2,18,2.8,4430231
154,76561197994278242,Tumer,1.1,16,3.7,6977005
155,76561197997854737,muerte=DDD,0.9,18,3.5,726270
156,76561197998155832,qklol,1.3,15,2.8,2299966
157,76561197998291996,SHEEKEY,1.0,13,3.1,3956228
158,76561197999905897,Steven Senegal,1.2,18,3.6,5615509
159,76561198000579521,J,0.8,15,4.0,4540758
160,76561198001270892,jOELZ-TNT-,1.5,16,2.7,7174465
161,76561198001733970,J0P,1.4,17,3.9,581357
162,76561198005479000,sarina,1.7,17,2.4,1299164
163,76561198013172503,ozmoladus,1.2,15,3.1,13978225
164,76561198013243326,Aleksibb,1.1,16,3.1,3941863
165,76561198017604097,Rybak,1.0,18,3.5,9649727
166,76561198017671061,suNny,1.2,18,2.9,12405472
167,76561198017729621,Naatti,1.1,19,3.1,848186
168,76561198018070395,bleh,1.2,20,3.3,4203272
169,76561198021587076,teksi,1.3,17,3.0,801282
170,76561198027839825,Sebastian,1.2,17,3.4,3514713
171,76561198027942941,B4BSTER,1.3,18,3.5,752200
172,76561198028958032,peetHIM,1.1,17,3.1,101428
173,76561198036987787,nookyyy,1.2,17,2.7,4813232
174,76561198070834397,Villelel,1.1,15,3.1,4255716
175,76561198072172014,oliveR,0.9,14,3.0,1597548
176,76561198077978905,KiSSiGAN,1.1,14,3.5,5825869
177,76561198090749662,kRRR,0.9,16,3.6,3288267
178,76561198094865706,Rytmi,1.2,15,3.3,1152246
179,76561198097948806,iigori,0.8,17,3.5,505644
180,76561198114759204,stediedi,1.2,17,3.6,1428438
181,76561198116385543,ode,0.9,17,3.8,3931823
182,76561198117904859,RenoGando,1.6,16,2.8,1560792
